manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
2023,10,80,4,6,5.0,1,3,12,0,710000000.0,0
2023,10,270,3,6,5.0,1,3,12,0,680000000.0,0
2020,10,251,6,7,5.0,2,3,12,70000,360000000.0,1
2004,7,41,8,7,5.0,1,3,6,170000,110000000.0,1
2023,10,251,6,7,5.0,1,3,12,0,480000000.0,0
2019,4,21,6,7,5.0,2,3,12,20000,300000000.0,1
2023,10,195,4,6,5.0,1,3,10,0,532000000.0,0
2016,4,94,0,7,5.0,1,3,12,95000,380000000.0,1
2023,10,257,3,1,5.0,1,3,12,0,390000000.0,0
2018,4,94,6,7,5.0,1,3,12,86000,425000000.0,1
2023,4,94,6,7,5.0,1,3,12,0,150000000.0,0
2023,4,21,6,7,5.0,1,3,12,0,415000000.0,0
2023,4,85,6,6,5.0,1,3,12,0,615000000.0,0
2007,10,136,6,3,8.0,2,3,11,90000,215000000.0,1
2019,4,21,6,7,5.0,2,3,12,20000,300000000.0,1
2021,6,5,2,2,5.0,1,3,12,32000,600000000.0,1
2008,4,126,9,1,5.0,1,3,5,90000,170000000.0,1
2008,10,136,6,6,8.0,2,3,11,80000,235000000.0,1
2013,10,109,6,6,7.0,1,3,1,130000,410000000.0,1
2008,10,136,2,8,7.0,2,3,11,0,242000000.0,1
2021,4,126,6,7,5.0,2,3,12,40000,305000000.0,1
2007,3,72,6,7,5.0,1,3,0,250,185000000.0,1
2018,4,94,6,7,5.0,1,3,12,86000,425000000.0,1
2014,4,126,9,1,5.0,1,3,11,93333,265000000.0,1
2020,10,79,6,7,5.0,1,3,1,41000,612000000.0,1
2022,6,5,6,7,5.0,1,3,12,22222,545000000.0,1
2013,10,109,6,6,7.0,1,3,1,130000,410000000.0,1
2010,4,122,0,0,5.0,1,3,10,90000,425000000.0,1
2023,2,99,4,6,7.0,1,2,1,0,1468000000.0,0
2019,2,99,4,6,7.0,2,2,12,200000,700000000.0,1
2017,6,5,6,2,5.0,1,3,12,94000,420000000.0,1
2019,4,21,6,7,5.0,2,3,12,20000,300000000.0,1
2014,4,126,9,1,5.0,1,3,10,68686,265268286.0,1
2011,1,87,1,8,5.0,2,3,1,0,192000000.0,1
1994,0,12,8,7,5.0,1,3,6,299000,350000000.0,1
2023,10,33,6,3,7.0,1,3,12,0,583000000.0,1
2018,4,94,6,7,5.0,1,3,12,86000,425000000.0,1
2010,4,122,0,0,5.0,1,3,10,90000,425000000.0,1
2023,2,90,4,5,5.0,1,2,8,0,1299000000.0,0
2012,3,47,6,6,5.0,1,3,11,168688,379000000.0,1
2023,4,21,6,7,5.0,1,3,12,0,415000000.0,0
2009,7,221,8,2,16.0,2,2,1,23000,130000000.0,1
2010,4,122,0,0,5.0,1,3,10,90000,425000000.0,1
2008,8,180,6,6,5.0,2,3,5,190000,268000000.0,1
2020,5,172,6,1,5.0,1,3,4,30000,310000000.0,1
2023,8,30,4,7,5.0,2,3,12,0,380000000.0,0
1994,0,12,8,7,5.0,1,3,6,299000,350000000.0,1
2023,4,94,6,7,5.0,1,3,12,0,150000000.0,0
2016,3,71,6,7,5.0,1,3,11,71000,350000000.0,1
2023,4,85,6,6,5.0,1,3,12,0,615000000.0,0
2023,4,21,6,7,5.0,1,3,0,0,510000000.0,0
2020,10,79,6,7,5.0,1,3,1,41000,600000000.0,1
2023,4,94,6,7,5.0,1,3,12,0,150000000.0,0
2023,10,246,6,3,7.0,1,3,12,50,180000000.0,1
2019,4,21,6,7,5.0,2,3,12,20000,300000000.0,1
2014,10,251,2,7,5.0,2,3,6,600000,253000000.0,1
2023,10,251,6,7,5.0,1,3,12,50,200000000.0,1
2015,10,57,6,7,5.0,1,3,1,70000,580000000.0,1
2008,8,180,6,6,5.0,2,3,5,190000,239000000.0,1
2023,10,33,6,3,7.0,1,3,12,50,160000000.0,1
2020,4,236,6,6,5.0,1,3,12,35000,630000000.0,1
2023,6,50,6,6,5.0,1,3,0,0,749000000.0,0
2023,10,80,4,6,5.0,1,3,12,50,250000000.0,1
2023,4,85,6,6,5.0,1,3,12,0,615000000.0,0
2013,10,109,6,6,7.0,1,3,1,130000,410000000.0,1
2023,10,195,4,6,5.0,1,3,10,0,180000000.0,1
2023,4,204,0,6,7.0,1,2,12,0,968000000.0,0
2015,10,79,6,7,5.0,1,3,11,55000,440000000.0,1
2023,4,21,6,7,5.0,1,3,12,0,415000000.0,0
2023,4,236,0,6,5.0,1,3,12,0,768888888.0,0
1994,0,12,8,7,5.0,1,3,6,299000,350000000.0,1
2023,10,257,3,1,5.0,1,3,12,50,150000000.0,1
2023,10,270,3,6,5.0,1,3,12,50,240000000.0,1
2009,5,172,0,1,5.0,1,3,12,60000,135000000.0,1
2022,4,94,6,7,5.0,2,3,12,25000,445000000.0,1
2019,2,99,4,6,7.0,2,2,12,100000,680000000.0,1
2010,4,122,0,0,5.0,1,3,10,90000,425000000.0,1
2023,4,85,6,6,5.0,1,3,12,0,615000000.0,0
2023,4,94,6,7,5.0,1,3,12,0,150000000.0,0
2023,4,21,6,7,5.0,1,3,12,0,415000000.0,0
2023,10,257,3,1,5.0,1,3,12,50,150000000.0,0
2022,10,80,4,6,5.0,1,3,12,11600,715000000.0,1
2023,10,270,3,6,5.0,1,3,12,50,240000000.0,0
2021,10,80,2,6,5.0,1,3,1,40000,815000000.0,1
2009,2,196,6,5,5.0,2,2,11,16000,195000000.0,1
2023,4,236,6,8,5.0,1,3,0,0,828000000.0,0
2015,6,3,2,1,5.0,1,3,12,49,300000000.0,1
2023,8,268,6,3,7.0,2,3,12,0,560000000.0,0
2021,6,3,4,7,5.0,1,3,12,36000,435000000.0,1
2023,10,137,3,8,7.0,1,3,0,50,260000000.0,0
2014,4,126,9,1,5.0,1,3,11,92000,258888888.0,1
2019,9,224,4,1,5.0,1,3,12,42000,420000000.0,1
2023,10,33,6,3,7.0,1,3,12,50,160000000.0,0
2023,8,30,4,7,5.0,1,3,12,0,465000000.0,0
2023,10,195,4,6,5.0,1,3,10,0,180000000.0,0
2016,4,126,9,1,5.0,2,3,12,50000,225000000.0,1
2013,10,136,2,3,8.0,2,3,11,0,262000000.0,1
2023,10,80,4,6,5.0,1,3,12,50,250000000.0,0
2009,7,221,8,9,16.0,2,2,1,23000,128000000.0,1
2008,0,263,1,6,7.0,1,3,6,53000,470000000.0,1
2023,10,251,6,7,5.0,1,3,12,50,200000000.0,0
2023,10,246,6,3,7.0,1,3,12,50,180000000.0,0
2011,4,125,0,6,9.0,2,3,4,150000,394000000.0,1
2023,8,235,4,8,5.0,2,2,12,0,580000000.0,0
2002,8,140,3,6,8.0,2,3,4,150000,65000000.0,1
2011,5,172,0,1,5.0,1,3,6,112000,245000000.0,1
2023,6,5,6,7,5.0,1,3,12,0,579000000.0,0
1996,7,91,8,7,5.0,2,3,10,89000,119000000.0,1
2019,9,63,4,1,5.0,2,3,12,59,270000000.0,1
2020,5,212,0,7,5.0,2,3,12,100000,320000000.0,1
2018,0,12,8,7,5.0,1,3,0,64000,1139000000.0,1
2016,2,196,4,5,5.0,1,2,12,70000,580000000.0,1
2023,11,240,6,6,5.0,1,0,10,0,458000000.0,0
2007,10,136,6,3,8.0,2,3,11,150000,198000000.0,1
2019,10,136,6,3,8.0,2,3,6,110000,510000000.0,1
2020,4,126,6,7,5.0,2,3,12,16250,280000000.0,1
2016,10,136,2,6,8.0,2,3,4,70000,395000000.0,1
2022,2,99,6,6,7.0,1,2,12,15000,1018000000.0,1
2023,11,240,6,6,5.0,1,0,2,0,458000000.0,0
2010,5,172,6,1,5.0,2,3,0,100000,155000000.0,1
2019,7,41,8,7,5.0,1,3,10,25000,1268000000.0,1
2023,8,30,4,7,5.0,2,3,12,0,380000000.0,0
2020,10,251,6,7,5.0,1,3,4,19000,475000000.0,1
1994,4,213,0,7,5.0,2,3,12,150000,19000000.0,1
2023,8,235,4,5,5.0,1,2,0,0,780000000.0,0
2017,10,109,6,6,7.0,2,2,12,1,680000000.0,1
2003,8,147,6,7,5.0,1,3,1,230000,143000000.0,1
2021,6,49,6,6,5.0,1,3,10,60000,549000000.0,1
2007,10,57,2,7,5.0,1,3,11,136000,315000000.0,1
2011,2,99,2,6,7.0,2,2,9,12345,292000000.0,1
2008,4,204,0,6,7.0,1,3,11,120852,359000000.0,1
2023,2,196,6,5,5.0,0,2,12,0,899000000.0,0
2007,10,136,6,6,8.0,2,3,11,230000,139000000.0,1
2019,5,198,0,3,5.0,2,3,12,78000,399000000.0,1
2015,5,172,0,1,5.0,2,3,12,92000,215000000.0,1
2022,5,61,6,3,7.0,1,2,2,13000,1368000000.0,1
2023,8,178,2,6,7.0,1,3,0,0,555000000.0,1
2019,2,196,1,5,5.0,2,2,0,65700,448000000.0,1
2018,8,268,2,7,7.0,2,3,6,22000,447000000.0,1
2000,10,273,6,6,8.0,2,3,0,150000,98000000.0,1
2020,2,196,4,5,5.0,1,2,6,58000,690000000.0,1
2019,10,135,4,5,5.0,1,2,6,60000,620000000.0,1
2016,4,126,9,7,5.0,2,3,11,126000,215000000.0,1
2023,11,241,6,6,5.0,1,0,0,0,907000000.0,0
2019,2,196,4,5,5.0,1,2,0,66000,519000000.0,1
2020,11,104,1,7,5.0,1,3,2,30,285000000.0,1
1994,3,22,2,7,5.0,2,3,0,222222,95000000.0,1
2008,4,204,0,6,7.0,1,3,3,219998,240000000.0,1
2010,4,204,0,8,7.0,1,3,0,88000,348000000.0,1
2020,6,38,4,5,5.0,1,2,3,101000,585000000.0,1
2020,5,212,0,7,5.0,2,3,12,68000,295000000.0,1
2008,1,58,6,6,7.0,2,3,0,207000,170000000.0,1
2007,8,129,2,6,7.0,1,3,1,100,255000000.0,1
2015,4,126,0,8,5.0,2,3,0,2345,176000000.0,1
2016,0,12,8,7,5.0,1,3,1,41000,779000000.0,1
1998,8,140,2,6,8.0,2,3,0,120000,50000000.0,1
2019,6,51,6,6,5.0,1,3,10,46000,739000000.0,1
2019,2,196,4,5,5.0,1,2,0,62000,519000000.0,1
2021,4,94,6,7,5.0,1,3,12,6200,616000000.0,1
2020,4,126,6,1,5.0,1,3,0,13800,345000000.0,1
2022,10,79,4,7,5.0,1,3,1,13000,699000000.0,1
2023,4,223,4,3,7.0,1,3,12,0,525000000.0,0
2015,2,196,4,5,5.0,2,2,12,88000,336000000.0,1
2005,5,172,0,1,5.0,1,3,7,120000,129000000.0,1
2004,2,97,1,6,5.0,2,3,1,128687,150000000.0,1
2009,5,67,0,7,5.0,2,3,11,140000,236000000.0,1
2020,4,126,6,1,5.0,1,3,10,25000,330000000.0,1
2009,2,99,6,6,7.0,1,2,9,0,315000000.0,1
2009,4,276,9,1,5.0,1,3,11,110000,220000000.0,1
2019,10,79,6,7,5.0,1,3,12,80000,549000000.0,1
2019,3,40,3,1,5.0,1,3,10,86000,348000000.0,1
2019,10,251,6,7,5.0,1,3,12,75000,415000000.0,1
2011,5,172,6,1,5.0,1,3,4,83979,188000000.0,1
2020,4,21,6,7,5.0,2,3,10,45000,366000000.0,1
2022,4,21,6,7,5.0,1,3,12,7500,488000000.0,1
2018,4,126,6,1,5.0,1,3,12,58000,328000000.0,1
2019,1,218,1,1,5.0,2,3,12,123456,80000000.0,1
2019,7,91,8,7,4.0,1,3,12,16000,1250000000.0,1
2021,4,236,6,6,5.0,1,2,1,28500,899000000.0,1
2017,2,196,4,5,5.0,1,2,2,112663,450000000.0,1
2007,2,99,6,6,7.0,2,2,11,110000,258000000.0,1
2018,1,58,1,6,7.0,1,3,10,49000,450000000.0,1
2023,11,240,6,6,5.0,1,0,1,0,458000000.0,0
2021,4,236,6,6,5.0,1,2,1,28000,899000000.0,1
2020,3,47,6,6,7.0,1,3,1,15000,845000000.0,1
