manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,condition
2023,Toyota,Raize,Nước khác,SUV / Cross over,5.0,AT,petrol,white,0,new
2016,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,AT,petrol,others,74000,used
2020,Kia,Seltos,Hàn Quốc,SUV / Cross over,5.0,AT,petrol,red,30000,used
2017,Hyundai,Santa Fe,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,68000,used
2018,Mazda,2,Thái Lan,Hatchback,5.0,AT,petrol,white,16000,used
2021,Ford,Everest,Thái Lan,SUV / Cross over,7.0,AT,oil,others,71000,used
2015,Chevrolet,Spark,Việt Nam,Hatchback,2.0,MT,petrol,blue,112000,used
2021,Kia,Seltos,Việt Nam,SUV / Cross over,5.0,AT,petrol,black,53000,used
2020,Mitsubishi,Xpander Cross,Việt Nam,Minivan (MPV),7.0,AT,petrol,black,28000,used
2021,Kia,Seltos,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,59000,used
2011,Hyundai,Tucson,Hàn Quốc,SUV / Cross over,5.0,AT,petrol,red,11000,used
2017,Ford,Transit,Việt Nam,Minivan (MPV),16.0,MT,oil,brown,17568,used
2019,Kia,Sorento,Việt Nam,SUV / Cross over,7.0,AT,oil,white,42000,used
2021,Mercedes Benz,GLC Class,Việt Nam,SUV / Cross over,5.0,AT,petrol,blue,22000,used
2021,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,60500,used
2023,Hyundai,Accent,Hàn Quốc,Sedan,5.0,AT,petrol,white,0,new
2015,Kia,Morning,Hàn Quốc,Hatchback,5.0,AT,petrol,red,90000,used
2013,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,86000,used
2020,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,red,30000,used
2018,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,gold,69000,used
2022,Hyundai,Creta,Hàn Quốc,SUV / Cross over,5.0,AT,petrol,white,0,new
2011,Hyundai,Santa Fe,Hàn Quốc,SUV / Cross over,7.0,AT,petrol,silver,99999,used
2007,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,gold,93000,used
2016,Toyota,Innova,Nhật Bản,Minivan (MPV),8.0,AT,petrol,silver,90000,used
1980,Mazda,626,Nhật Bản,Sedan,5.0,MT,petrol,blue,99999,used
2021,Honda,CR V,Việt Nam,SUV / Cross over,7.0,AT,petrol,black,21000,used
2015,Kia,Sorento,Việt Nam,SUV / Cross over,7.0,AT,petrol,red,120000,used
2022,Kia,Sonet,Hàn Quốc,SUV / Cross over,5.0,AT,petrol,red,10000,used
2012,Toyota,Vios,Nhật Bản,Sedan,5.0,AT,petrol,silver,73000,used
2017,Ford,EcoSport,Việt Nam,SUV / Cross over,5.0,AT,petrol,silver,60000,used
2016,Kia,Morning,Việt Nam,Hatchback,5.0,AT,petrol,gold,75000,used
2020,Toyota,Corolla Cross,Thái Lan,SUV / Cross over,5.0,AT,petrol,brown,60000,used
2016,Ford,Ranger,Mỹ,Pick-up (bán tải),5.0,AT,oil,grey,90000,used
2022,Mitsubishi,Xpander,Nước khác,Minivan (MPV),7.0,AT,petrol,white,3700,used
2021,Ford,Tourneo,Việt Nam,Minivan (MPV),7.0,AT,petrol,white,23000,used
2020,Vinfast,Fadil,Việt Nam,Hatchback,4.0,AT,petrol,white,4000,used
2023,Hyundai,Grand i10,Việt Nam,Hatchback,5.0,MT,petrol,white,0,new
2016,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,gold,90000,used
2016,Kia,Morning,Việt Nam,Hatchback,5.0,MT,petrol,silver,69000,used
2011,Kia,Forte,Việt Nam,Sedan,5.0,AT,petrol,black,11,used
2013,Kia,Morning,Hàn Quốc,Hatchback,2.0,AT,petrol,white,130000,used
2023,Toyota,Wigo,Nhật Bản,Hatchback,2.0,AT,petrol,white,0,new
2018,Toyota,Wigo,Nước khác,Hatchback,5.0,AT,petrol,orange,100000,used
2014,Hyundai,Santa Fe,Hàn Quốc,SUV / Cross over,7.0,AT,petrol,brown,70000,used
2023,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,black,0,new
2019,Ford,Ranger,Nước khác,Pick-up (bán tải),5.0,AT,oil,white,68000,used
2020,Vinfast,Lux A2.0,Việt Nam,Sedan,5.0,AT,petrol,red,50000,used
2014,Ford,EcoSport,Việt Nam,SUV / Cross over,5.0,AT,petrol,orange,100200,used
2021,Mitsubishi,Xpander,Nước khác,Minivan (MPV),7.0,AT,petrol,silver,33000,used
2019,Mazda,2,Việt Nam,Sedan,5.0,AT,petrol,brown,58000,used
2017,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,gold,71000,used
2019,Toyota,Wigo,Nước khác,Hatchback,5.0,AT,petrol,orange,79240,used
2019,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,red,37415,used
2019,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,70000,used
2017,Ford,Transit,Việt Nam,Van,7.0,MT,oil,white,200,used
2023,Vinfast,VF5,Việt Nam,SUV / Cross over,5.0,AT,electric,orange,0,new
2023,Mitsubishi,Xpander Cross,Nhật Bản,Minivan (MPV),7.0,AT,petrol,orange,0,new
2021,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,red,44000,used
2022,Toyota,Corolla Cross,Thái Lan,SUV / Cross over,5.0,AT,petrol,black,19000,used
2019,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,white,68000,used
2018,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,white,68000,used
2020,Mazda,3,Nhật Bản,Sedan,5.0,AT,petrol,red,16000,used
2011,Honda,Accord,Đài Loan,Sedan,5.0,AT,petrol,white,10000,used
2018,Chevrolet,Colorado,Việt Nam,Pick-up (bán tải),5.0,AT,oil,black,65000,used
2013,Kia,Forte,Hàn Quốc,Sedan,5.0,AT,petrol,silver,100000,used
2002,Toyota,Hiace,Nhật Bản,Van,6.0,MT,petrol,white,100000,used
2017,Mercedes Benz,GLC,Việt Nam,SUV / Cross over,5.0,AT,petrol,black,20000,used
2015,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,MT,oil,silver,150,used
2012,Kia,Carens,Việt Nam,Minivan (MPV),7.0,AT,petrol,gold,82000,used
2022,Honda,CR V,Việt Nam,SUV / Cross over,7.0,AT,petrol,red,32000,used
2019,Mazda,BT 50,Thái Lan,Pick-up (bán tải),5.0,MT,petrol,brown,140000,used
2016,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,brown,59000,used
2008,Hyundai,Elantra,Hàn Quốc,Sedan,5.0,MT,petrol,white,165000,used
2008,Ford,Everest,Mỹ,SUV / Cross over,7.0,MT,oil,red,79000,used
2018,Chevrolet,Trailblazer,Thái Lan,SUV / Cross over,8.0,AT,oil,white,45000,used
1992,Toyota,Camry,Việt Nam,Sedan,2.0,AT,petrol,white,85000,used
1988,Toyota,Camry,Nhật Bản,Sedan,5.0,MT,petrol,red,123456,used
2023,Hyundai,Tucson,Hàn Quốc,SUV / Cross over,5.0,AT,petrol,red,0,new
2022,Kia,K3,Việt Nam,Sedan,5.0,AT,petrol,blue,12700,used
2010,Toyota,Innova,Việt Nam,Minivan (MPV),7.0,AT,petrol,black,21000,used
2012,Hyundai,Genesis,Nhật Bản,Coupe (2 cửa),4.0,AT,petrol,gold,1,used
2019,Vinfast,1083,Việt Nam,Sedan,2.0,AT,petrol,white,30000,used
2018,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,brown,41000,used
2020,Mitsubishi,Xpander,Nước khác,Minivan (MPV),7.0,AT,petrol,white,30400,used
2021,Toyota,Corolla Cross,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,30000,used
2019,Ford,Transit,Việt Nam,Kiểu dáng khác,16.0,MT,oil,silver,100900,used
2014,Kia,Optima,Hàn Quốc,Sedan,5.0,AT,petrol,white,70000,used
2019,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,gold,40000,used
2012,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,black,90000,used
2014,Kia,Morning,Việt Nam,Hatchback,5.0,MT,petrol,white,110688,used
2015,Mazda,6,Việt Nam,Sedan,5.0,AT,petrol,black,80000,used
2011,Kia,Morning,Việt Nam,Hatchback,4.0,AT,petrol,green,65000,used
2014,Ford,Fiesta,Việt Nam,Hatchback,5.0,AT,petrol,red,84000,used
2020,Kia,Cerato,Hàn Quốc,Sedan,5.0,AT,petrol,white,39000,used
2016,Mazda,CX 5,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,70000,used
2012,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,AT,petrol,silver,110000,used
2020,Hyundai,Santa Fe,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,38000,used
2016,Toyota,Fortuner,Nước khác,SUV / Cross over,7.0,AT,petrol,white,83600,used
2018,Mazda,3,Việt Nam,Hatchback,5.0,AT,petrol,white,25000,used
2007,Toyota,Innova,Việt Nam,SUV / Cross over,8.0,MT,petrol,silver,196000,used
2015,Kia,Rio,Hàn Quốc,Hatchback,5.0,AT,petrol,white,85000,used
2016,Ford,EcoSport,Việt Nam,SUV / Cross over,5.0,MT,petrol,red,45000,used
2022,Toyota,Avanza,Thái Lan,SUV / Cross over,7.0,MT,petrol,silver,42000,used
2023,Mitsubishi,Xpander Cross,Nước khác,Minivan (MPV),7.0,AT,petrol,black,6000,used
2016,Toyota,Fortuner,Nhật Bản,SUV / Cross over,7.0,MT,oil,silver,60000,used
2019,Ford,Everest,Thái Lan,SUV / Cross over,7.0,AT,oil,red,70000,used
2003,Mercedes Benz,E Class,Đức,Sedan,5.0,AT,petrol,black,192000,used
2016,Chevrolet,Spark,Việt Nam,Hatchback,5.0,MT,petrol,white,95000,used
2020,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,40000,used
2019,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,white,57000,used
2020,Honda,CR V,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,28000,used
2015,Kia,K3,Hàn Quốc,Sedan,5.0,AT,petrol,gold,81000,used
2006,Kia,Morning,Hàn Quốc,Hatchback,7.0,AT,oil,red,1234,used
2021,Kia,Sorento,Việt Nam,SUV / Cross over,7.0,AT,oil,blue,46500,used
2021,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,white,9999,used
2015,Kia,Rio,Hàn Quốc,Hatchback,5.0,AT,petrol,white,36000,used
2019,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,oil,white,22000,used
2019,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,blue,29000,used
2021,Vinfast,Lux A2.0,Việt Nam,Sedan,5.0,AT,petrol,others,26000,used
2022,Mitsubishi,Attrage,Nhật Bản,Sedan,5.0,AT,petrol,white,2100,used
2019,Hyundai,Elantra,Việt Nam,Sedan,5.0,MT,petrol,white,145000,used
2020,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,red,23000,used
2018,Mazda,BT 50,Thái Lan,Pick-up (bán tải),5.0,AT,oil,others,60000,used
2020,Mazda,CX 8,Việt Nam,SUV / Cross over,7.0,AT,petrol,grey,71000,used
2006,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,160000,used
2022,Toyota,Avanza,Nhật Bản,SUV / Cross over,7.0,AT,petrol,grey,10234,used
2019,Ford,Everest,Thái Lan,SUV / Cross over,7.0,AT,oil,white,59000,used
2020,Mitsubishi,Xpander,Việt Nam,Minivan (MPV),5.0,AT,petrol,black,52000,used
2022,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,silver,19600,used
2019,Kia,Cerato,Việt Nam,Sedan,5.0,MT,petrol,white,50000,used
2007,Toyota,Innova,Nhật Bản,Sedan,8.0,MT,petrol,silver,55087,used
2019,Mitsubishi,Xpander,Nước khác,Minivan (MPV),5.0,AT,petrol,silver,70000,used
2007,Toyota,Innova,Việt Nam,SUV / Cross over,8.0,MT,petrol,white,86518,used
2022,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,red,15000,used
2020,Toyota,Corolla Cross,Thái Lan,SUV / Cross over,5.0,AT,petrol,blue,18000,used
2017,Chevrolet,Spark,Việt Nam,Hatchback,5.0,MT,petrol,red,77000,used
2017,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,orange,85000,used
2021,Toyota,Corolla Cross,Thái Lan,SUV / Cross over,5.0,AT,petrol,white,26666,used
2021,Mitsubishi,Outlander,Thái Lan,SUV / Cross over,7.0,AT,petrol,white,60000,used
2011,Chevrolet,Cruze,Việt Nam,Sedan,5.0,AT,petrol,grey,113000,used
2015,Kia,Rio,Hàn Quốc,Hatchback,5.0,AT,petrol,red,85000,used
2018,Kia,Sorento,Hàn Quốc,SUV / Cross over,7.0,AT,petrol,brown,83000,used
2013,Hyundai,Accent,Hàn Quốc,Sedan,5.0,AT,petrol,white,92686,used
2020,Mitsubishi,Outlander,Nhật Bản,SUV / Cross over,7.0,AT,petrol,brown,39,used
2023,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,white,8500,used
2016,Mazda,6,Nhật Bản,Sedan,5.0,AT,petrol,red,94000,used
2020,Mazda,CX 5,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,21000,used
2022,Toyota,Corolla Cross,Thái Lan,SUV / Cross over,5.0,AT,petrol,white,19000,used
2017,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,black,82000,used
2017,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,red,56000,used
2022,Mazda,CX 5,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,18000,used
2008,Toyota,Camry,Nhật Bản,Sedan,5.0,AT,petrol,black,1179,used
2018,Hyundai,Grand i10,Việt Nam,Hatchback,5.0,AT,petrol,white,89000,used
2018,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,white,9000,used
2020,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,grey,132438,used
2012,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,grey,146,used
2016,Toyota,Yaris,Thái Lan,Hatchback,5.0,AT,petrol,red,47000,used
2008,Kia,Carnival,Hàn Quốc,Minivan (MPV),7.0,MT,petrol,black,123,used
2022,Hyundai,Tucson,Việt Nam,SUV / Cross over,2.0,AT,oil,white,34000,used
2022,Hyundai,Creta,Nước khác,SUV / Cross over,5.0,AT,petrol,red,25600,used
2023,Mitsubishi,Xpander,Nước khác,SUV / Cross over,7.0,AT,petrol,white,16,used
2008,Honda,Accord,Mỹ,Sedan,5.0,AT,petrol,grey,100000,used
2016,Hyundai,Elantra,Hàn Quốc,Sedan,5.0,AT,petrol,white,70000,used
2018,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,brown,22000,used
2019,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,black,110000,used
2019,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,white,37700,used
2011,Kia,Morning,Hàn Quốc,Hatchback,5.0,AT,petrol,white,80000,used
2019,Kia,Optima,Hàn Quốc,Sedan,5.0,AT,petrol,white,40000,used
2022,Toyota,Veloz,Nước khác,Minivan (MPV),9.0,AT,petrol,silver,12000,used
2016,Mercedes Benz,S Class,Việt Nam,Sedan,5.0,AT,petrol,white,60000,used
2022,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,blue,12500,used
2021,Hyundai,Elantra,Việt Nam,Sedan,5.0,AT,petrol,white,58000,used
2018,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,silver,70000,used
2012,Chevrolet,Spark,Hàn Quốc,Hatchback,5.0,MT,petrol,green,130000,used
2015,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,AT,petrol,red,7,used
2017,Hyundai,Grand i10,Việt Nam,Hatchback,5.0,MT,petrol,white,52000,used
2016,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,60000,used
2018,Kia,Morning,Việt Nam,Hatchback,5.0,MT,petrol,silver,46000,used
2016,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,silver,85000,used
2009,Chevrolet,Captiva,Việt Nam,SUV / Cross over,7.0,AT,petrol,gold,83000,used
2019,Toyota,Camry,Thái Lan,Sedan,5.0,AT,petrol,black,28500,used
2023,Vinfast,VF8,Việt Nam,SUV / Cross over,5.0,AT,electric,white,8,used
2021,Mazda,CX 5,Nhật Bản,SUV / Cross over,5.0,AT,petrol,red,1300,used
2019,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,white,50000,used
2016,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,123456,used
2014,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,white,150000,used
2019,Toyota,Yaris,Thái Lan,Hatchback,5.0,AT,petrol,red,43000,used
2016,Chevrolet,Cruze,Việt Nam,Sedan,5.0,MT,petrol,silver,80000,used
2017,Mazda,BT 50,Thái Lan,Pick-up (bán tải),5.0,AT,oil,silver,78000,used
2017,Mazda,CX 5,Nhật Bản,SUV / Cross over,5.0,AT,petrol,red,61000,used
2019,Mitsubishi,Xpander,Ấn Độ,Minivan (MPV),5.0,MT,petrol,white,86000,used
2018,Ford,Everest,Thái Lan,SUV / Cross over,7.0,AT,petrol,black,48000,used
2008,Toyota,Yaris,Nhật Bản,Sedan,5.0,AT,petrol,grey,11000,used
2019,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,silver,58000,used
2020,Ford,Everest,Thái Lan,SUV / Cross over,7.0,AT,oil,red,42000,used
2018,Toyota,Camry,Nước khác,Sedan,5.0,AT,petrol,white,29163,used
2019,Toyota,Hilux,Thái Lan,Pick-up (bán tải),5.0,AT,oil,silver,70000,used
2022,Ford,Ranger,Mỹ,Pick-up (bán tải),5.0,AT,petrol,black,20000,used
2022,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,black,11000,used
2021,Mitsubishi,Xpander,Nhật Bản,Minivan (MPV),7.0,AT,petrol,brown,25000,used
2018,Hyundai,Santa Fe,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,33000,used
2022,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,petrol,black,24000,used
2022,Toyota,Veloz,Việt Nam,Minivan (MPV),7.0,AT,petrol,black,37000,used
2019,Hyundai,Kona,Việt Nam,SUV / Cross over,5.0,AT,petrol,black,45000,used
2017,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,brown,78000,used
2019,Ford,EcoSport,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,28000,used
2009,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,petrol,grey,93000,used
2021,Vinfast,Fadil,Việt Nam,Hatchback,5.0,AT,petrol,white,35000,used
2019,Chevrolet,Colorado,Thái Lan,Pick-up (bán tải),5.0,AT,oil,red,60000,used
2015,Toyota,Innova,Nhật Bản,Minivan (MPV),8.0,MT,petrol,white,126000,used
2014,Kia,Morning,Hàn Quốc,Hatchback,2.0,AT,petrol,grey,85000,used
2021,Honda,Brio,Nước khác,Hatchback,5.0,AT,petrol,white,30000,used
2020,Kia,Optima,Việt Nam,Sedan,5.0,AT,petrol,white,26000,used
2017,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,brown,72000,used
2017,Toyota,Innova,Hàn Quốc,Minivan (MPV),8.0,MT,petrol,white,78000,used
2021,Mitsubishi,Triton,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,48000,used
2017,Ford,EcoSport,Việt Nam,SUV / Cross over,5.0,AT,petrol,orange,71000,used
2015,Mercedes Benz,C Class,Việt Nam,Sedan,5.0,AT,petrol,silver,80000,used
2021,Kia,Sorento,Việt Nam,SUV / Cross over,7.0,AT,petrol,grey,57000,used
2016,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,orange,108000,used
2016,Mazda,2,Việt Nam,Sedan,5.0,AT,petrol,white,55000,used
2020,Kia,Cerato,Việt Nam,Sedan,5.0,AT,petrol,white,59999,used
2021,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,black,20000,used
2017,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,white,50000,used
2020,Kia,Cerato,Việt Nam,Sedan,5.0,AT,petrol,red,45000,used
2019,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,silver,80,used
2020,Vinfast,Lux SA2.0,Việt Nam,SUV / Cross over,7.0,AT,petrol,black,49000,used
2014,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,MT,oil,grey,12000,used
2021,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,8300,used
2009,Toyota,Corolla Altis,Nhật Bản,Sedan,5.0,AT,petrol,silver,10000,used
2016,Ford,Transit,Việt Nam,Van,6.0,AT,petrol,silver,82000,used
2021,Kia,Soluto,Việt Nam,Sedan,5.0,AT,petrol,white,30000,used
2015,Mercedes Benz,GLE Class,Đức,SUV / Cross over,5.0,AT,petrol,black,37000,used
2014,Mitsubishi,Triton,Thái Lan,Pick-up (bán tải),5.0,MT,oil,grey,110000,used
2015,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,99000,used
2020,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,gold,40138,used
2019,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,MT,oil,gold,51000,used
2006,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,178352,used
2009,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,MT,oil,silver,152000,used
2017,Kia,Morning,Việt Nam,Hatchback,5.0,MT,petrol,white,68000,used
2018,Ford,Fiesta,Nước khác,Hatchback,5.0,AT,petrol,blue,42000,used
2013,Mitsubishi,Mirage,Thái Lan,Hatchback,5.0,MT,petrol,silver,78484,used
2019,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,brown,91000,used
2005,Ford,Everest,Mỹ,SUV / Cross over,7.0,MT,oil,blue,110000,used
2018,Chevrolet,Trailblazer,Thái Lan,SUV / Cross over,7.0,AT,oil,white,46000,used
2015,Ford,Focus,Việt Nam,Hatchback,5.0,AT,petrol,red,56000,used
2017,Chevrolet,Spark,Việt Nam,Hatchback,5.0,MT,petrol,red,152000,used
2017,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,white,69000,used
2005,Ford,Ranger,Mỹ,Pick-up (bán tải),5.0,MT,oil,white,56789,used
2007,Ford,Everest,Việt Nam,SUV / Cross over,7.0,MT,oil,black,128000,used
2018,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,brown,68000,used
2016,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,orange,75000,used
2017,Ford,EcoSport,Việt Nam,SUV / Cross over,5.0,MT,petrol,silver,67000,used
2003,Mitsubishi,Jolie,Nhật Bản,SUV / Cross over,8.0,AT,petrol,silver,100000,used
2022,Hyundai,Accent,Việt Nam,Sedan,5.0,MT,petrol,white,19000,used
2019,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,oil,white,58000,used
2018,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,grey,78000,used
2016,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,black,50000,used
2019,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,96000,used
2019,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,gold,7,used
2019,Kia,Cerato,Hàn Quốc,Sedan,5.0,MT,petrol,white,78456,used
2020,Hyundai,Grand i10,Ấn Độ,Sedan,5.0,AT,petrol,white,30000,used
2011,Hyundai,i20,Ấn Độ,Hatchback,5.0,AT,petrol,red,120,used
2023,Hyundai,Creta,Việt Nam,SUV / Cross over,5.0,AT,petrol,grey,0,new
2011,Kia,Morning,Hàn Quốc,Hatchback,5.0,AT,petrol,white,40000,used
2015,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,MT,oil,silver,16000,used
2023,Kia,Carnival,Việt Nam,Minivan (MPV),7.0,AT,oil,blue,18000,used
2008,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,AT,petrol,silver,80000,used
2010,Hyundai,Genesis,Việt Nam,Coupe (2 cửa),5.0,AT,petrol,blue,60000,used
2011,Mercedes Benz,C Class,Việt Nam,Sedan,5.0,AT,petrol,white,13000,used
2014,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,MT,oil,black,98000,used
2013,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,silver,93896,used
2011,Ford,Escape,Việt Nam,SUV / Cross over,5.0,AT,petrol,gold,150000,used
2019,Kia,Rondo,Hàn Quốc,Minivan (MPV),7.0,AT,petrol,white,25000,used
2019,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,99000,used
2007,Kia,Cerato,Hàn Quốc,Sedan,5.0,MT,petrol,grey,120000,used
2018,Hyundai,Grand i10,Việt Nam,Hatchback,5.0,AT,petrol,red,70000,used
2021,Vinfast,Lux A2.0,Việt Nam,Sedan,5.0,AT,petrol,black,27000,used
2019,Ford,EcoSport,Việt Nam,SUV / Cross over,5.0,AT,petrol,orange,33000,used
2022,Kia,Seltos,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,27000,used
2019,Hyundai,Grand i10,Việt Nam,Sedan,5.0,MT,petrol,white,62000,used
2015,Ford,Transit,Việt Nam,Minivan (MPV),6.0,MT,oil,silver,120000,used
2017,Toyota,Fortuner,Nước khác,SUV / Cross over,7.0,MT,oil,silver,101000,used
2016,Kia,Morning,Việt Nam,Hatchback,5.0,AT,petrol,gold,90000,used
2022,Hyundai,Creta,Nước khác,SUV / Cross over,5.0,AT,petrol,white,44000,used
2016,Hyundai,Santa Fe,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,70000,used
2017,Kia,Cerato,Việt Nam,Sedan,5.0,AT,petrol,gold,50000,used
2019,Kia,Cerato,Việt Nam,Sedan,5.0,MT,petrol,white,60000,used
2019,Mitsubishi,Outlander,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,56000,used
2021,Ford,Everest,Thái Lan,SUV / Cross over,7.0,AT,oil,black,58000,used
2020,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,oil,black,58000,used
2015,Toyota,Innova,Việt Nam,Minivan (MPV),7.0,MT,petrol,silver,145000,used
2009,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,black,126000,used
2022,Kia,K5,Việt Nam,Sedan,5.0,AT,petrol,red,6000,used
2015,Mazda,2,Việt Nam,Hatchback,5.0,AT,petrol,white,61000,used
2019,Hyundai,Grand i10,Việt Nam,Hatchback,5.0,MT,petrol,white,58000,used
2020,Vinfast,Lux SA2.0,Việt Nam,SUV / Cross over,7.0,AT,petrol,black,51012,used
2011,Mercedes Benz,C Class,Việt Nam,Sedan,5.0,AT,petrol,grey,25000,used
2016,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,white,200000,used
2022,Hyundai,Accent,Việt Nam,Sedan,2.0,AT,petrol,black,13000,used
2018,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,brown,170000,used
2012,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,black,96000,used
2019,Ford,Ranger,Mỹ,Pick-up (bán tải),5.0,AT,oil,white,71000,used
2019,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,others,74000,used
2018,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,65000,used
