manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,condition
2020,Hyundai,Santa Fe,Việt Nam,SUV / Cross over,5.0,AT,oil,white,63000,used
2019,Mitsubishi,Xpander,Nước khác,Minivan (MPV),5.0,MT,petrol,black,56000,used
2019,Honda,City,Nhật Bản,Sedan,5.0,AT,petrol,white,124000,used
2019,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,oil,red,42000,used
2016,Kia,Sorento,Việt Nam,SUV / Cross over,7.0,AT,petrol,red,120000,used
2016,Kia,Rio,Hàn Quốc,Sedan,5.0,AT,petrol,red,84000,used
2017,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,34000,used
2019,Ford,Tourneo,Mỹ,Minivan (MPV),7.0,AT,petrol,white,51368,used
2017,Honda,Civic,Việt Nam,Sedan,5.0,AT,petrol,red,89256,used
2011,Kia,Morning,Việt Nam,Hatchback,5.0,MT,petrol,blue,59000,used
2004,Ford,Escape,Mỹ,SUV / Cross over,5.0,MT,petrol,black,128687,used
2014,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,MT,petrol,silver,18000,used
2019,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,others,147000,used
2023,Toyota,Veloz,Việt Nam,SUV / Cross over,7.0,AT,petrol,black,0,new
2020,Hyundai,Santa Fe,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,40000,used
2014,Toyota,Innova,Việt Nam,Minivan (MPV),7.0,AT,petrol,brown,127078,used
2022,Vinfast,Fadil,Việt Nam,Hatchback,5.0,AT,petrol,red,30000,used
2008,Toyota,Innova,Việt Nam,SUV / Cross over,8.0,MT,petrol,silver,192000,used
2021,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,gold,11000,used
2017,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,brown,77000,used
2018,Hyundai,Grand i10,Việt Nam,Sedan,5.0,AT,petrol,white,101000,used
2016,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,MT,oil,black,12000,used
2017,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,MT,oil,blue,55000,used
2020,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,red,64912,used
2019,Kia,Rondo,Hàn Quốc,Minivan (MPV),5.0,MT,petrol,white,68000,used
2003,Mitsubishi,Jolie,Nhật Bản,SUV / Cross over,7.0,MT,petrol,silver,125000,used
2021,Mazda,CX 3,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,60000,used
2008,Mercedes Benz,C Class,Việt Nam,Sedan,5.0,AT,petrol,grey,160000,used
2018,Kia,Sedona,Việt Nam,Minivan (MPV),7.0,AT,oil,white,94000,used
2014,Ford,EcoSport,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,80000,used
2018,Toyota,Vios,Nước khác,Sedan,5.0,AT,petrol,white,90000,used
2022,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,white,40000,used
2019,Toyota,Yaris,Thái Lan,Hatchback,5.0,AT,petrol,red,42000,used
2009,Chevrolet,Captiva,Mỹ,SUV / Cross over,7.0,AT,oil,black,95,used
2005,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,grey,97,used
