iter	MAE	RMSE
200	38744855.34	67068626.09
201	38720228.46	67021088.97
202	38670143.52	66920565.34
203	38601754.11	66821034.8
204	38583135.68	66748986.39
205	38547545.85	66676514.72
206	38469030.1	66562907.14
207	38431573.67	66494826.98
208	38418952.62	66433645.57
209	38393222.44	66387969.46
210	38392374.49	66381516.79
211	38378067.55	66338246.77
212	38332130.55	66225576.49
213	38326464.43	66203563.65
214	38287795.89	66125438.27
215	38270808.93	66096345.34
216	38229252.33	66043709.29
217	38151055.34	65931407.22
218	38129080.68	65908668.72
219	38067333.85	65812049.41
220	38020976.32	65731032.81
221	38008781.76	65707466.45
222	37985054.72	65632506.79
223	37956992.97	65591270.49
224	37910591.91	65503705.5
225	37902350.84	65476032.26
226	37900412.12	65469838.85
227	37830918.6	65390178.82
228	37796774.3	65312701.63
229	37751931.26	65216359.84
230	37725123.77	65143097.05
231	37672023.46	65043094.81
232	37623011.88	64959199.76
233	37609033.96	64949396.04
234	37569512.22	64885286.76
235	37552329.38	64848224.83
236	37542235.65	64819603.56
237	37512960.88	64793288.21
238	37484282.8	64766613.21
239	37492310.73	64782604.25
240	37454408.74	64707797.73
241	37415262.3	64619170.76
242	37388857.13	64615834.8
243	37368470.89	64582003.13
244	37344340.96	64497699.04
245	37301994.58	64411714.48
246	37238759.92	64308034.97
247	37234138.35	64253297.19
248	37229399.41	64259213.9
249	37186580.66	64189077.77
250	37181593.06	64146924.78
251	37120822.8	64094837.92
252	37124924.84	64101614.36
253	37031891.07	63964192.9
254	36987743.22	63916472.12
255	36979682.88	63891303.54
256	36960134.53	63800201.85
257	36922255.99	63729271.61
258	36875812.74	63686234.84
259	36851782.1	63624591.01
260	36812555	63540106.07
261	36813005.79	63514842.2
262	36750336.05	63423502.61
263	36707465.41	63384235.86
264	36665305.76	63299056.19
265	36643282.56	63255412
266	36648773.88	63262077.9
267	36613744.83	63166649.14
268	36591654	63134792.26
269	36580179.85	63104502.16
270	36549189.26	63052339.5
271	36507579.94	62972333.8
272	36477887.99	62910652.64
273	36441341.25	62857302.58
274	36393177.58	62785455.9
275	36365210.88	62731401.08
276	36334172.77	62665380.08
277	36294244.26	62594434.17
278	36265227.54	62549991.46
279	36233037.23	62519661.8
280	36207014.99	62477173.29
281	36179155.46	62443662.29
282	36150851.82	62406699.43
283	36143579.18	62384323.22
284	36126571.75	62343412.22
285	36116952.9	62331716.7
286	36078029.9	62261003.66
287	36034438.2	62195662.78
288	36013413.06	62157968.31
289	35995965.89	62092570.75
290	35989822.18	62080048.07
291	35943469.06	61984836.47
292	35909655.87	61902133.87
293	35880696.71	61866393.95
294	35848813.09	61809455.42
295	35831635.54	61782412.48
296	35805973.57	61737236.27
297	35778179.24	61696152.51
298	35771590.42	61657802.42
299	35762654.97	61631479.46
300	35726838.13	61574499.93
301	35693308.21	61526322.83
302	35681468.69	61465114.6
303	35644888.89	61402923.6
304	35594510.09	61343871.24
305	35599069.3	61331224.95
306	35566966.06	61285202.2
307	35545647.28	61229338.84
308	35526457.32	61173656.98
309	35506942.2	61128336.75
310	35506624.02	61117532.95
311	35496463.69	61088412.16
312	35493725.09	61064050.5
313	35476401.78	61008844.75
314	35460933.14	60963076.1
315	35422561.65	60913882.16
316	35398358.13	60862830.64
317	35359914.57	60825028.03
318	35332867.5	60777501.65
319	35316279.28	60738878.32
320	35286576.35	60710331
321	35287539.52	60705270.61
322	35248894.87	60647128.27
323	35206213.38	60590444.09
324	35169289.14	60551743.31
325	35145406.02	60536312.66
326	35123013.57	60520573.96
327	35102192.14	60496695.91
328	35066261.34	60426969.23
329	35063021.65	60415830.53
330	35049667.82	60394735.21
331	35026592.41	60353999.79
332	35012810.37	60324410.19
333	34988629.17	60280707.99
334	34986790.43	60275397.77
335	34949532.33	60204719.33
336	34942671.3	60180470.89
337	34926146.67	60134041.42
338	34913617.98	60110177.59
339	34899048.81	60091596.48
340	34880014.25	60046436.68
341	34866656.8	60019915.94
342	34816899.51	59964112.2
343	34799887.75	59950058.17
344	34771192.76	59891781.97
345	34737787.61	59846648.95
346	34738576.67	59834285.04
347	34716091.35	59775842.2
348	34711000.62	59764229.61
